Room_ID	Room_Status	Cat_ID	Cat_Breed	Cat_Sex	Cat_Age	Cat_Weight	Cat_Behavior
Room_031	NA	Cat_0151	American Shorthair	Male	5.0	6.63	NA
Room_031	NA	Cat_0152	American Shorthair	Male	2.0	5.62	NA
Room_031	NA	Cat_0153	Bengal	Female	5.0	3.84	NA
Room_031	NA	Cat_0154	Bengal	Female	3.0	3.55	NA
Room_031	NA	Cat_0155	Domestic Longhair	Male	4.0	5.11	NA
Room_032	valid	Cat_0156	Domestic Longhair	Male	4.0	5.82	happy
Room_032	valid	Cat_0157	Ragdoll	Female	7.0	4.71	happy
Room_032	valid	Cat_0158	Domestic Longhair	Female	6.0	4.17	happy
Room_032	valid	Cat_0159	American Shorthair	Female	7.0	4.23	happy
Room_032	valid	Cat_0160	Ragdoll	Male	7.0	8.8	happy
Room_033	NA	Cat_0161	Domestic Longhair	Female	3.0	4.25	NA
Room_033	NA	Cat_0162	Domestic Longhair	Female	8.0	4.31	NA
Room_033	NA	Cat_0163	American Shorthair	Male	4.0	5.68	NA
Room_033	NA	Cat_0164	Ragdoll	Male	5.0	8.49	NA
Room_033	NA	Cat_0165	Ragdoll	Female	7.0	4.91	NA
Room_034	NA	Cat_0166	Bengal	Female	4.0	4.51	NA
Room_034	NA	Cat_0167	American Shorthair	Male	5.0	5.85	NA
Room_034	NA	Cat_0168	Domestic Longhair	Female	6.0	3.94	NA
Room_034	NA	Cat_0169	Bengal	Male	7.0	6.32	NA
Room_034	NA	Cat_0170	Ragdoll	Male	4.0	8.11	NA
Room_035	NA	Cat_0171	Ragdoll	Female	5.0	5.28	NA
Room_035	NA	Cat_0172	Ragdoll	Female	3.0	4.72	NA
Room_035	NA	Cat_0173	Bengal	Male	2.0	5.77	NA
Room_035	NA	Cat_0174	American Shorthair	Female	6.0	4.13	NA
Room_035	NA	Cat_0175	Ragdoll	Female	6.0	4.22	NA
Room_036	NA	Cat_0176	Ragdoll	Female	6.0	4.51	NA
Room_036	NA	Cat_0177	Ragdoll	Female	5.0	4.95	NA
Room_036	NA	Cat_0178	American Shorthair	Female	6.0	4.68	NA
Room_036	NA	Cat_0179	American Shorthair	Female	6.0	4.43	NA
Room_036	NA	Cat_0180	Ragdoll	Male	7.0	7.02	NA
Room_037	NA	Cat_0181	Bengal	Male	5.0	6.17	NA
Room_037	NA	Cat_0182	Bengal	Female	5.0	3.89	NA
Room_037	NA	Cat_0183	Bengal	Female	5.0	3.74	NA
Room_037	NA	Cat_0184	Bengal	Male	2.0	5.19	NA
Room_037	NA	Cat_0185	Bengal	Female	2.0	3.72	NA
Room_038	NA	Cat_0186	Domestic Longhair	Female	5.0	3.24	NA
Room_038	NA	Cat_0187	Bengal	Female	5.0	3.79	NA
Room_038	NA	Cat_0188	Ragdoll	Female	6.0	6.11	NA
Room_038	NA	Cat_0189	Ragdoll	Female	4.0	5.76	NA
Room_038	NA	Cat_0190	Ragdoll	Female	8.0	6.23	NA
Room_039	valid	Cat_0191	American Shorthair	Male	6.0	5.9	happy
Room_039	valid	Cat_0192	Domestic Longhair	Female	5.0	3.96	happy
Room_039	valid	Cat_0193	Ragdoll	Male	5.0	8.48	happy
Room_039	valid	Cat_0194	Domestic Longhair	Female	4.0	4.0	happy
Room_039	valid	Cat_0195	Ragdoll	Female	5.0	4.78	happy
Room_040	NA	Cat_0196	Domestic Longhair	Male	5.0	6.87	NA
Room_040	NA	Cat_0197	Bengal	Female	5.0	4.28	NA
Room_040	NA	Cat_0198	Bengal	Female	8.0	4.25	NA
Room_040	NA	Cat_0199	Ragdoll	Female	2.0	3.92	NA
Room_040	NA	Cat_0200	American Shorthair	Male	6.0	5.64	NA
Room_041	NA	Cat_0201	Bengal	Male	6.0	5.46	NA
Room_041	NA	Cat_0202	Domestic Longhair	Female	6.0	3.03	NA
Room_041	NA	Cat_0203	Ragdoll	Female	3.0	5.97	NA
Room_041	NA	Cat_0204	Domestic Longhair	Female	5.0	4.38	NA
Room_041	NA	Cat_0205	Bengal	Male	8.0	6.01	NA
Room_042	NA	Cat_0206	Ragdoll	Female	6.0	5.44	NA
Room_042	NA	Cat_0207	American Shorthair	Female	7.0	4.43	NA
Room_042	NA	Cat_0208	American Shorthair	Female	8.0	4.75	NA
Room_042	NA	Cat_0209	American Shorthair	Female	5.0	4.72	NA
Room_042	NA	Cat_0210	American Shorthair	Female	6.0	4.27	NA
Room_043	NA	Cat_0211	Domestic Longhair	Female	5.0	3.79	NA
Room_043	NA	Cat_0212	American Shorthair	Male	6.0	6.75	NA
Room_043	NA	Cat_0213	Ragdoll	Male	7.0	7.02	NA
Room_043	NA	Cat_0214	American Shorthair	Female	6.0	4.47	NA
Room_043	NA	Cat_0215	Domestic Longhair	Female	4.0	3.82	NA
Room_044	NA	Cat_0216	American Shorthair	Female	6.0	4.49	NA
Room_044	NA	Cat_0217	Ragdoll	Female	5.0	6.16	NA
Room_044	NA	Cat_0218	Ragdoll	Male	6.0	8.26	NA
Room_044	NA	Cat_0219	American Shorthair	Male	6.0	5.65	NA
Room_044	NA	Cat_0220	American Shorthair	Female	6.0	4.23	NA
Room_045	NA	Cat_0221	Ragdoll	Male	2.0	7.89	NA
Room_045	NA	Cat_0222	Ragdoll	Female	5.0	4.68	NA
Room_045	NA	Cat_0223	Bengal	Male	4.0	5.61	NA
Room_045	NA	Cat_0224	Ragdoll	Female	4.0	5.5	NA
Room_045	NA	Cat_0225	Domestic Longhair	Male	4.0	5.58	NA
Room_046	NA	Cat_0226	Ragdoll	Male	4.0	6.82	NA
Room_046	NA	Cat_0227	American Shorthair	Female	6.0	4.19	NA
Room_046	NA	Cat_0228	Ragdoll	Male	7.0	7.39	NA
Room_046	NA	Cat_0229	Ragdoll	Female	3.0	5.15	NA
Room_046	NA	Cat_0230	American Shorthair	Female	5.0	4.43	NA
Room_047	NA	Cat_0231	Ragdoll	Female	4.0	5.1	NA
Room_047	NA	Cat_0232	Ragdoll	Female	4.0	4.47	NA
Room_047	NA	Cat_0233	Domestic Longhair	Female	2.0	4.62	NA
Room_047	NA	Cat_0234	American Shorthair	Male	4.0	5.97	NA
Room_047	NA	Cat_0235	Bengal	Female	7.0	3.82	NA
Room_048	NA	Cat_0236	Ragdoll	Female	5.0	6.18	NA
Room_048	NA	Cat_0237	American Shorthair	Female	6.0	4.02	NA
Room_048	NA	Cat_0238	Bengal	Female	6.0	3.63	NA
Room_048	NA	Cat_0239	American Shorthair	Female	6.0	4.21	NA
Room_048	NA	Cat_0240	American Shorthair	Male	7.0	5.8	NA
Room_049	compromised	Cat_0241	Bengal	Male	5.0	4.34	evil
Room_049	compromised	Cat_0242	American Shorthair	Female	3.0	4.08	scared
Room_049	compromised	Cat_0243	Domestic Longhair	Male	4.0	5.06	scared
Room_049	compromised	Cat_0244	American Shorthair	Female	5.0	4.48	scared
Room_049	compromised	Cat_0245	American Shorthair	Female	7.0	4.32	scared
Room_050	NA	Cat_0246	Domestic Longhair	Male	6.0	6.58	NA
Room_050	NA	Cat_0247	American Shorthair	Female	6.0	4.4	NA
Room_050	NA	Cat_0248	Bengal	Male	5.0	5.73	NA
Room_050	NA	Cat_0249	Ragdoll	Female	6.0	4.14	NA
Room_050	NA	Cat_0250	American Shorthair	Male	5.0	6.04	NA
Room_051	NA	Cat_0251	American Shorthair	Female	5.0	3.6	NA
Room_051	NA	Cat_0252	Domestic Longhair	Female	4.0	3.83	NA
Room_051	NA	Cat_0253	American Shorthair	Female	6.0	4.54	NA
Room_051	NA	Cat_0254	Bengal	Male	5.0	5.94	NA
Room_051	NA	Cat_0255	Bengal	Male	5.0	5.93	NA
Room_052	valid	Cat_0256	Domestic Longhair	Male	5.0	5.93	happy
Room_052	valid	Cat_0257	Domestic Longhair	Female	4.0	3.25	happy
Room_052	valid	Cat_0258	American Shorthair	Female	3.0	4.14	happy
Room_052	valid	Cat_0259	Ragdoll	Female	5.0	5.47	happy
Room_052	valid	Cat_0260	Bengal	Male	3.0	4.44	happy
Room_053	valid	Cat_0261	Ragdoll	Male	8.0	7.93	happy
Room_053	valid	Cat_0262	Ragdoll	Female	6.0	4.88	happy
Room_053	valid	Cat_0263	Bengal	Male	4.0	5.88	happy
Room_053	valid	Cat_0264	American Shorthair	Female	4.0	4.6	happy
Room_053	valid	Cat_0265	Ragdoll	Female	4.0	5.08	happy
Room_054	NA	Cat_0266	American Shorthair	Female	2.0	4.43	NA
Room_054	NA	Cat_0267	Ragdoll	Female	5.0	5.71	NA
Room_054	NA	Cat_0268	American Shorthair	Male	2.0	6.01	NA
Room_054	NA	Cat_0269	American Shorthair	Male	8.0	5.77	NA
Room_054	NA	Cat_0270	Ragdoll	Female	5.0	4.28	NA
Room_055	NA	Cat_0271	Bengal	Male	6.0	6.61	NA
Room_055	NA	Cat_0272	Domestic Longhair	Male	4.0	6.15	NA
Room_055	NA	Cat_0273	Domestic Longhair	Female	6.0	3.96	NA
Room_055	NA	Cat_0274	Domestic Longhair	Male	3.0	5.45	NA
Room_055	NA	Cat_0275	Domestic Longhair	Female	7.0	4.39	NA
Room_056	NA	Cat_0276	American Shorthair	Male	6.0	6.03	NA
Room_056	NA	Cat_0277	Bengal	Male	5.0	5.0	NA
Room_056	NA	Cat_0278	Bengal	Male	4.0	5.78	NA
Room_056	NA	Cat_0279	American Shorthair	Female	6.0	4.05	NA
Room_056	NA	Cat_0280	Ragdoll	Female	7.0	6.23	NA
Room_057	NA	Cat_0281	Domestic Longhair	Female	6.0	4.18	NA
Room_057	NA	Cat_0282	American Shorthair	Female	7.0	3.59	NA
Room_057	NA	Cat_0283	Domestic Longhair	Male	4.0	6.64	NA
Room_057	NA	Cat_0284	Ragdoll	Female	8.0	6.31	NA
Room_057	NA	Cat_0285	Ragdoll	Male	7.0	7.27	NA
Room_058	valid	Cat_0286	American Shorthair	Female	7.0	4.02	happy
Room_058	valid	Cat_0287	Domestic Longhair	Female	7.0	4.72	happy
Room_058	valid	Cat_0288	Bengal	Female	5.0	4.19	happy
Room_058	valid	Cat_0289	Domestic Longhair	Female	5.0	4.78	happy
Room_058	valid	Cat_0290	Ragdoll	Female	4.0	4.53	happy
Room_059	NA	Cat_0291	Bengal	Female	5.0	4.06	NA
Room_059	NA	Cat_0292	American Shorthair	Female	3.0	3.66	NA
Room_059	NA	Cat_0293	Ragdoll	Male	7.0	7.52	NA
Room_059	NA	Cat_0294	Domestic Longhair	Male	5.0	5.27	NA
Room_059	NA	Cat_0295	American Shorthair	Female	8.0	4.06	NA
Room_060	compromised	Cat_0296	American Shorthair	Male	7.0	6.23	evil
Room_060	compromised	Cat_0297	Domestic Longhair	Male	5.0	4.13	scared
Room_060	compromised	Cat_0298	American Shorthair	Male	6.0	5.52	scared
Room_060	compromised	Cat_0299	Domestic Longhair	Female	6.0	3.72	scared
Room_060	compromised	Cat_0300	American Shorthair	Female	6.0	4.86	scared
Room_061	NA	Cat_0301	American Shorthair	Female	7.0	4.39	NA
Room_061	NA	Cat_0302	American Shorthair	Female	2.0	3.78	NA
Room_061	NA	Cat_0303	Domestic Longhair	Female	2.0	4.34	NA
Room_061	NA	Cat_0304	Ragdoll	Female	5.0	5.31	NA
Room_061	NA	Cat_0305	American Shorthair	Male	4.0	6.1	NA
Room_062	valid	Cat_0306	Ragdoll	Female	6.0	5.41	happy
Room_062	valid	Cat_0307	Domestic Longhair	Female	5.0	3.82	happy
Room_062	valid	Cat_0308	Ragdoll	Male	5.0	5.48	happy
Room_062	valid	Cat_0309	Ragdoll	Female	5.0	4.45	happy
Room_062	valid	Cat_0310	Ragdoll	Female	5.0	4.89	happy
Room_063	NA	Cat_0311	Ragdoll	Male	4.0	7.04	NA
Room_063	NA	Cat_0312	Bengal	Male	5.0	5.1	NA
Room_063	NA	Cat_0313	Ragdoll	Male	5.0	6.34	NA
Room_063	NA	Cat_0314	Ragdoll	Male	5.0	7.18	NA
Room_063	NA	Cat_0315	Domestic Longhair	Female	7.0	3.97	NA
Room_064	valid	Cat_0316	American Shorthair	Male	2.0	5.74	happy
Room_064	valid	Cat_0317	Ragdoll	Male	7.0	7.39	happy
Room_064	valid	Cat_0318	American Shorthair	Female	7.0	4.8	happy
Room_064	valid	Cat_0319	American Shorthair	Female	7.0	3.75	happy
Room_064	valid	Cat_0320	Domestic Longhair	Female	5.0	3.43	happy
Room_065	NA	Cat_0321	Ragdoll	Male	6.0	7.51	NA
Room_065	NA	Cat_0322	Ragdoll	Female	5.0	5.22	NA
Room_065	NA	Cat_0323	Ragdoll	Female	5.0	5.33	NA
Room_065	NA	Cat_0324	American Shorthair	Female	5.0	4.09	NA
Room_065	NA	Cat_0325	Ragdoll	Female	4.0	6.42	NA
Room_066	NA	Cat_0326	American Shorthair	Female	3.0	4.41	NA
Room_066	NA	Cat_0327	Ragdoll	Female	3.0	5.37	NA
Room_066	NA	Cat_0328	Ragdoll	Female	6.0	5.6	NA
Room_066	NA	Cat_0329	American Shorthair	Female	6.0	4.44	NA
Room_066	NA	Cat_0330	Domestic Longhair	Female	5.0	3.57	NA
Room_067	NA	Cat_0331	Bengal	Male	5.0	6.84	NA
Room_067	NA	Cat_0332	Bengal	Female	6.0	3.98	NA
Room_067	NA	Cat_0333	Bengal	Female	4.0	3.76	NA
Room_067	NA	Cat_0334	Bengal	Male	6.0	4.96	NA
Room_067	NA	Cat_0335	Domestic Longhair	Female	7.0	4.29	NA
Room_068	compromised	Cat_0336	Domestic Longhair	Female	5.0	3.97	evil
Room_068	compromised	Cat_0337	American Shorthair	Male	4.0	5.46	scared
Room_068	compromised	Cat_0338	Ragdoll	Male	4.0	6.64	scared
Room_068	compromised	Cat_0339	American Shorthair	Female	3.0	4.55	scared
Room_068	compromised	Cat_0340	Domestic Longhair	Female	7.0	3.95	scared
Room_069	NA	Cat_0341	Bengal	Male	6.0	5.18	NA
Room_069	NA	Cat_0342	Domestic Longhair	Female	5.0	3.79	NA
Room_069	NA	Cat_0343	Domestic Longhair	Female	2.0	3.83	NA
Room_069	NA	Cat_0344	American Shorthair	Female	5.0	4.72	NA
Room_069	NA	Cat_0345	American Shorthair	Male	2.0	6.66	NA
Room_070	NA	Cat_0346	Domestic Longhair	Female	6.0	4.24	NA
Room_070	NA	Cat_0347	American Shorthair	Male	5.0	6.05	NA
Room_070	NA	Cat_0348	Ragdoll	Male	4.0	6.87	NA
Room_070	NA	Cat_0349	Bengal	Male	5.0	5.76	NA
Room_070	NA	Cat_0350	Bengal	Male	2.0	5.12	NA
Room_071	NA	Cat_0351	Ragdoll	Male	6.0	7.28	NA
Room_071	NA	Cat_0352	American Shorthair	Male	6.0	5.89	NA
Room_071	NA	Cat_0353	Ragdoll	Male	3.0	7.98	NA
Room_071	NA	Cat_0354	American Shorthair	Male	6.0	6.32	NA
Room_071	NA	Cat_0355	Ragdoll	Female	5.0	6.57	NA
Room_072	NA	Cat_0356	Bengal	Female	4.0	3.9	NA
Room_072	NA	Cat_0357	American Shorthair	Male	3.0	5.87	NA
Room_072	NA	Cat_0358	Domestic Longhair	Male	4.0	5.57	NA
Room_072	NA	Cat_0359	Domestic Longhair	Male	6.0	6.14	NA
Room_072	NA	Cat_0360	Domestic Longhair	Male	4.0	4.13	NA
Room_073	NA	Cat_0361	American Shorthair	Male	5.0	6.13	NA
Room_073	NA	Cat_0362	Bengal	Female	6.0	3.76	NA
Room_073	NA	Cat_0363	Domestic Longhair	Female	3.0	4.23	NA
Room_073	NA	Cat_0364	Domestic Longhair	Male	4.0	5.87	NA
Room_073	NA	Cat_0365	Domestic Longhair	Female	4.0	3.55	NA
Room_074	NA	Cat_0366	Domestic Longhair	Male	6.0	5.83	NA
Room_074	NA	Cat_0367	American Shorthair	Male	4.0	5.46	NA
Room_074	NA	Cat_0368	Domestic Longhair	Male	4.0	5.43	NA
Room_074	NA	Cat_0369	Ragdoll	Male	4.0	7.41	NA
Room_074	NA	Cat_0370	American Shorthair	Male	2.0	6.57	NA
Room_075	valid	Cat_0371	Bengal	Female	4.0	3.96	happy
Room_075	valid	Cat_0372	Ragdoll	Female	3.0	5.62	happy
Room_075	valid	Cat_0373	Ragdoll	Female	4.0	4.88	happy
Room_075	valid	Cat_0374	Domestic Longhair	Female	8.0	4.5	happy
Room_075	valid	Cat_0375	Ragdoll	Female	5.0	4.18	happy
Room_076	NA	Cat_0376	Ragdoll	Female	4.0	6.33	NA
Room_076	NA	Cat_0377	Domestic Longhair	Female	4.0	4.3	NA
Room_076	NA	Cat_0378	American Shorthair	Female	5.0	3.48	NA
Room_076	NA	Cat_0379	Ragdoll	Female	4.0	5.94	NA
Room_076	NA	Cat_0380	Ragdoll	Female	6.0	4.41	NA
Room_077	NA	Cat_0381	Domestic Longhair	Male	6.0	6.98	NA
Room_077	NA	Cat_0382	Domestic Longhair	Female	7.0	3.67	NA
Room_077	NA	Cat_0383	Domestic Longhair	Female	4.0	3.81	NA
